[bare] mean per event over 460 events (dispatch | settle):
  svg_rasters                         0.0000 | 0.0000
  flush_host_frame                    0.0000 | 0.0000
  sync_semantics                      0.0000 | 0.0000
    reparent_orphans                  0.0000 | 0.0000
    sync_sidebar_footer               0.0000 | 0.0000
    sync_layout_containing_blocks     0.0000 | 0.0000
    sync_semantics_from_bridge        0.0000 | 0.0000
  resolve_layout                      0.0000 | 0.0000
    resolve_layout_passes              0.000 | 0.000
      prepare_semantic_styles         0.0000 | 0.0000
      apply_semantic_styles           0.0000 | 0.0000
        flush_runtime_systems         0.0000 | 0.0005
        projected_widgets              0.000 | 0.000
        flush_runtime_systems_calls     0.000 | 2.000
    flush_host_frame_in_sync          0.0000 | 0.0000
[listeners] mean per event over 460 events (dispatch | settle):
  svg_rasters                         0.0000 | 0.0000
  flush_host_frame                    0.0000 | 0.0000
  sync_semantics                      0.0000 | 0.0000
    reparent_orphans                  0.0000 | 0.0000
    sync_sidebar_footer               0.0000 | 0.0000
    sync_layout_containing_blocks     0.0000 | 0.0000
    sync_semantics_from_bridge        0.0000 | 0.0000
  resolve_layout                      0.0000 | 0.0000
    resolve_layout_passes              0.000 | 0.000
      prepare_semantic_styles         0.0000 | 0.0000
      apply_semantic_styles           0.0000 | 0.0000
        flush_runtime_systems         0.0000 | 0.0006
        projected_widgets              0.000 | 0.000
        flush_runtime_systems_calls     0.000 | 2.000
    flush_host_frame_in_sync          0.0000 | 0.0000
[reactive] mean per event over 460 events (dispatch | settle):
  svg_rasters                         0.0000 | 0.0000
  flush_host_frame                    0.0000 | 0.0000
  sync_semantics                      0.0000 | 1.3757
    reparent_orphans                  0.0000 | 0.2527
    sync_sidebar_footer               0.0000 | 0.0839
    sync_layout_containing_blocks     0.0000 | 0.1418
    sync_semantics_from_bridge        0.0000 | 0.8962
  resolve_layout                      0.0000 | 0.0001
    resolve_layout_passes              1.000 | 0.000
      prepare_semantic_styles         0.0000 | 0.5257
      apply_semantic_styles           0.0000 | 0.3511
        flush_runtime_systems         0.4063 | 0.3171
        projected_widgets              0.000 | 4.998
        flush_runtime_systems_calls     2.000 | 5.000
    flush_host_frame_in_sync          0.0000 | 0.0002
[reactive-components] mean per event over 460 events (dispatch | settle):
  svg_rasters                         0.0000 | 0.0000
  flush_host_frame                    0.0000 | 0.0000
  sync_semantics                      0.0000 | 1.2693
    reparent_orphans                  0.0000 | 0.2403
    sync_sidebar_footer               0.0000 | 0.0836
    sync_layout_containing_blocks     0.0000 | 0.1042
    sync_semantics_from_bridge        0.0000 | 0.8403
  resolve_layout                      0.0000 | 0.0001
    resolve_layout_passes              1.000 | 0.000
      prepare_semantic_styles         0.0000 | 0.5095
      apply_semantic_styles           0.0000 | 0.3116
        flush_runtime_systems         0.3093 | 0.2819
        projected_widgets              0.000 | 4.998
        flush_runtime_systems_calls     2.000 | 5.000
    flush_host_frame_in_sync          0.0000 | 0.0002
