[bare] mean per event over 460 events (dispatch | settle):
  svg_rasters                         0.0000 | 0.0000
  flush_host_frame                    0.0000 | 0.0000
  sync_semantics                      0.0000 | 0.0000
    reparent_orphans                  0.0000 | 0.0000
    sync_sidebar_footer               0.0000 | 0.0000
    sync_layout_containing_blocks     0.0000 | 0.0000
    sync_semantics_from_bridge        0.0000 | 0.0000
  resolve_layout                      0.0000 | 0.0000
    resolve_layout_passes              0.000 | 0.000
      prepare_semantic_styles         0.0000 | 0.0000
      apply_semantic_styles           0.0000 | 0.0000
        flush_runtime_systems         0.0000 | 0.0005
        projected_widgets              0.000 | 0.000
        flush_runtime_systems_calls     0.000 | 2.000
    flush_host_frame_in_sync          0.0000 | 0.0000
        · style build+compare         0.0000 | 0.0000
        · project_migrating_component    0.0000 | 0.0000
        · accessibility build+compare    0.0000 | 0.0000
    · reparent collect_reachable      0.0000 | 0.0000
    · find_sidebar_reparent_host      0.0000 | 0.0000
    · reparent_sidebar_footer_slots    0.0000 | 0.0000
        · try_bind_registered_component    0.0000 | 0.0000
        · is_settings_row_projected_slot    0.0000 | 0.0000
        · try_bind_calls               0.000 | 0.000
          » resolve_widget_component_type    0.0000 | 0.0000
          » bind_semantic_slots       0.0000 | 0.0000
          » bind_semantic_copy        0.0000 | 0.0000
          » tree_child_bind_options    0.0000 | 0.0000
          » widget_icon               0.0000 | 0.0000
          » prepare_semantic_binding    0.0000 | 0.0000
[listeners] mean per event over 460 events (dispatch | settle):
  svg_rasters                         0.0000 | 0.0000
  flush_host_frame                    0.0000 | 0.0000
  sync_semantics                      0.0000 | 0.0000
    reparent_orphans                  0.0000 | 0.0000
    sync_sidebar_footer               0.0000 | 0.0000
    sync_layout_containing_blocks     0.0000 | 0.0000
    sync_semantics_from_bridge        0.0000 | 0.0000
  resolve_layout                      0.0000 | 0.0000
    resolve_layout_passes              0.000 | 0.000
      prepare_semantic_styles         0.0000 | 0.0000
      apply_semantic_styles           0.0000 | 0.0000
        flush_runtime_systems         0.0000 | 0.0005
